2048 23787 6947 7267 sorted
2048 23883 6837 6879 sorted
2048 23354 6818 6291 sorted
2048 22494 6272 6356 sorted
2048 22792 7309 7088 sorted
2048 21579 6734 6457 sorted
2048 23118 6762 6710 sorted
4096 1278 180 181 random
4096 1310 189 265 random
4096 955 149 165 random
4096 785 153 145 random
4096 811 161 150 random
4096 1359 176 139 random
4096 842 161 156 random
4096 830 150 145 random
4096 824 167 157 random
4096 816 167 151 random
4096 92490 14871 13147 sorted
4096 88114 13227 13592 sorted
4096 86986 13453 12789 sorted
4096 86481 16100 13347 sorted
4096 87829 13395 13050 sorted
4096 87214 15016 12781 sorted
4096 89151 13059 12979 sorted
4096 90584 18942 22414 sorted
4096 87555 12939 13564 sorted
4096 86889 25090 13397 sorted
8192 2145 226 221 random
8192 1918 225 228 random
8192 1857 202 205 random
8192 1902 217 194 random
8192 1746 200 193 random
8192 1790 211 554 random
8192 1727 196 197 random
8192 1796 214 212 random
8192 1842 207 195 random
8192 1891 204 259 random
8192 373860 26787 25987 sorted
8192 354308 26020 28306 sorted
8192 354529 27355 26941 sorted
8192 354717 26254 26595 sorted
8192 380042 26348 27118 sorted
8192 365437 27647 42313 sorted
8192 352651 29275 27278 sorted
8192 401317 27183 27162 sorted
8192 360759 27057 26687 sorted
8192 355670 27219 26345 sorted
16384 6287 312 290 random
16384 5090 231 244 random
16384 4471 258 264 random
16384 5106 311 348 random
16384 4827 536 246 random
16384 4579 269 275 random
16384 4705 272 264 random
16384 4292 275 267 random
16384 4391 268 254 random
16384 4766 253 282 random
16384 1447237 54156 54070 sorted
16384 1466779 54847 53182 sorted
16384 1527239 54351 55409 sorted
16384 1476550 53746 55045 sorted
16384 4410793 52587 64202 sorted
16384 1457116 55423 69786 sorted
16384 1463612 55841 55256 sorted
1024 273 106 107 random
1024 176 95 96 random
1024 164 98 93 random
1024 160 105 97 random
1024 162 98 107 random
1024 167 145 146 random
1024 173 106 97 random
1024 168 107 96 random
1024 161 93 97 random
1024 163 96 99 random
1024 5217 3189 2743 sorted
1024 5489 3378 4614 sorted
1024 4653 2667 2712 sorted
1024 6050 4823 4638 sorted
1024 5117 2782 2623 sorted
1024 5103 2827 2703 sorted
1024 5196 2713 2621 sorted
1024 5142 2761 2642 sorted
1024 11567 3134 3208 sorted
1024 6679 2732 2799 sorted
2048 596 136 117 random
